halcmd: show pin hm2_7i92*
Component Pins:
Owner   Type  Dir         Value  Name
     7  bit   IN          FALSE  hm2_7i92.0.encoder.05.reset
     7  float OUT             0  hm2_7i92.0.encoder.05.velocity
     7  float OUT             0  hm2_7i92.0.encoder.05.velocity-rpm
     7  s32   OUT             0  hm2_7i92.0.encoder.06.count
     7  s32   OUT             0  hm2_7i92.0.encoder.06.count-latched
     7  bit   I/O         FALSE  hm2_7i92.0.encoder.06.index-enable
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.06.input-a
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.06.input-b
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.06.input-index
     7  float OUT             0  hm2_7i92.0.encoder.06.position
     7  float OUT             0  hm2_7i92.0.encoder.06.position-latched
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.06.quad-error
     7  bit   IN          FALSE  hm2_7i92.0.encoder.06.quad-error-enable
     7  s32   OUT             0  hm2_7i92.0.encoder.06.rawcounts
     7  s32   OUT             0  hm2_7i92.0.encoder.06.rawlatch
     7  bit   IN          FALSE  hm2_7i92.0.encoder.06.reset
     7  float OUT             0  hm2_7i92.0.encoder.06.velocity
     7  float OUT             0  hm2_7i92.0.encoder.06.velocity-rpm
     7  s32   OUT             0  hm2_7i92.0.encoder.07.count
     7  s32   OUT             0  hm2_7i92.0.encoder.07.count-latched
     7  bit   I/O         FALSE  hm2_7i92.0.encoder.07.index-enable
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.07.input-a
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.07.input-b
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.07.input-index
     7  float OUT             0  hm2_7i92.0.encoder.07.position
     7  float OUT             0  hm2_7i92.0.encoder.07.position-latched
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.07.quad-error
     7  bit   IN          FALSE  hm2_7i92.0.encoder.07.quad-error-enable
     7  s32   OUT             0  hm2_7i92.0.encoder.07.rawcounts
     7  s32   OUT             0  hm2_7i92.0.encoder.07.rawlatch
     7  bit   IN          FALSE  hm2_7i92.0.encoder.07.reset
     7  float OUT             0  hm2_7i92.0.encoder.07.velocity
     7  float OUT             0  hm2_7i92.0.encoder.07.velocity-rpm
     7  s32   OUT             0  hm2_7i92.0.encoder.08.count
     7  s32   OUT             0  hm2_7i92.0.encoder.08.count-latched
     7  bit   I/O         FALSE  hm2_7i92.0.encoder.08.index-enable
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.08.input-a
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.08.input-b
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.08.input-index
     7  float OUT             0  hm2_7i92.0.encoder.08.position
     7  float OUT             0  hm2_7i92.0.encoder.08.position-latched
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.08.quad-error
     7  bit   IN          FALSE  hm2_7i92.0.encoder.08.quad-error-enable
     7  s32   OUT             0  hm2_7i92.0.encoder.08.rawcounts
     7  s32   OUT             0  hm2_7i92.0.encoder.08.rawlatch
     7  bit   IN          FALSE  hm2_7i92.0.encoder.08.reset
     7  float OUT             0  hm2_7i92.0.encoder.08.velocity
     7  float OUT             0  hm2_7i92.0.encoder.08.velocity-rpm
     7  s32   OUT             0  hm2_7i92.0.encoder.09.count
     7  s32   OUT             0  hm2_7i92.0.encoder.09.count-latched
     7  bit   I/O         FALSE  hm2_7i92.0.encoder.09.index-enable
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.09.input-a
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.09.input-b
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.09.input-index
     7  float OUT             0  hm2_7i92.0.encoder.09.position
     7  float OUT             0  hm2_7i92.0.encoder.09.position-latched
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.09.quad-error
     7  bit   IN          FALSE  hm2_7i92.0.encoder.09.quad-error-enable
     7  s32   OUT             0  hm2_7i92.0.encoder.09.rawcounts
     7  s32   OUT             0  hm2_7i92.0.encoder.09.rawlatch
     7  bit   IN          FALSE  hm2_7i92.0.encoder.09.reset
     7  float OUT             0  hm2_7i92.0.encoder.09.velocity
     7  float OUT             0  hm2_7i92.0.encoder.09.velocity-rpm
     7  s32   OUT             0  hm2_7i92.0.encoder.10.count
     7  s32   OUT             0  hm2_7i92.0.encoder.10.count-latched
     7  bit   I/O         FALSE  hm2_7i92.0.encoder.10.index-enable
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.10.input-a
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.10.input-b
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.10.input-index
     7  float OUT             0  hm2_7i92.0.encoder.10.position
     7  float OUT             0  hm2_7i92.0.encoder.10.position-latched
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.10.quad-error
     7  bit   IN          FALSE  hm2_7i92.0.encoder.10.quad-error-enable
     7  s32   OUT             0  hm2_7i92.0.encoder.10.rawcounts
     7  s32   OUT             0  hm2_7i92.0.encoder.10.rawlatch
     7  bit   IN          FALSE  hm2_7i92.0.encoder.10.reset
     7  float OUT             0  hm2_7i92.0.encoder.10.velocity
     7  float OUT             0  hm2_7i92.0.encoder.10.velocity-rpm
     7  s32   OUT             0  hm2_7i92.0.encoder.11.count
     7  s32   OUT             0  hm2_7i92.0.encoder.11.count-latched
     7  bit   I/O         FALSE  hm2_7i92.0.encoder.11.index-enable
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.11.input-a
     7  bit   OUT          TRUE  hm2_7i92.0.encoder.11.input-b
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.11.input-index
     7  float OUT             0  hm2_7i92.0.encoder.11.position
     7  float OUT             0  hm2_7i92.0.encoder.11.position-latched
     7  bit   OUT         FALSE  hm2_7i92.0.encoder.11.quad-error
     7  bit   IN          FALSE  hm2_7i92.0.encoder.11.quad-error-enable
     7  s32   OUT             0  hm2_7i92.0.encoder.11.rawcounts
     7  s32   OUT             0  hm2_7i92.0.encoder.11.rawlatch
     7  bit   IN          FALSE  hm2_7i92.0.encoder.11.reset
     7  float OUT             0  hm2_7i92.0.encoder.11.velocity
     7  float OUT             0  hm2_7i92.0.encoder.11.velocity-rpm
     7  bit   IN          FALSE  hm2_7i92.0.encoder.hires-timestamp
     7  u32   IN     0x007F2815  hm2_7i92.0.encoder.muxed-sample-frequency
     7  u32   IN     0x00000000  hm2_7i92.0.encoder.muxed-skew
     7  s32   IN             -1  hm2_7i92.0.encoder.timer-number
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.000.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.000.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.000.out
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.001.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.001.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.001.out
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.002.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.002.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.002.out
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.003.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.003.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.004.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.004.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.005.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.005.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.005.out
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.006.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.006.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.006.out
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.007.in
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.007.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.008.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.008.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.009.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.009.in_not
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.010.in
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.010.in_not
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.011.in
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.011.in_not
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.012.in
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.012.in_not
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.013.in
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.013.in_not
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.014.in
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.014.in_not
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.015.in
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.015.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.016.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.016.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.017.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.017.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.017.out
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.018.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.018.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.018.out
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.019.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.019.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.019.out
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.020.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.020.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.020.out
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.021.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.021.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.021.out
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.022.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.022.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.022.out
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.023.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.023.in_not
     7  bit   IN          FALSE  hm2_7i92.0.gpio.023.out
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.024.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.024.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.025.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.025.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.026.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.026.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.027.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.027.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.028.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.028.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.029.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.029.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.030.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.030.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.031.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.031.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.032.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.032.in_not
     7  bit   OUT          TRUE  hm2_7i92.0.gpio.033.in
     7  bit   OUT         FALSE  hm2_7i92.0.gpio.033.in_not
     7  bit   IN          FALSE  hm2_7i92.0.led.CR01
     7  bit   IN          FALSE  hm2_7i92.0.led.CR02
     7  bit   IN          FALSE  hm2_7i92.0.led.CR03
     7  bit   IN          FALSE  hm2_7i92.0.led.CR04
     7  bit   OUT         FALSE  hm2_7i92.0.packet-error
     7  bit   OUT         FALSE  hm2_7i92.0.packet-error-exceeded
     7  s32   OUT             0  hm2_7i92.0.packet-error-level
     7  u32   I/O    0x00000000  hm2_7i92.0.packet-error-total
     7  s32   OUT             0  hm2_7i92.0.read-request.time
     7  s32   OUT        518298  hm2_7i92.0.read.time
     7  u32   OUT    0x00000000  hm2_7i92.0.sserial.port-0.fault-count
     7  u32   OUT    0x00000003  hm2_7i92.0.sserial.port-0.port_state
     7  u32   OUT    0x00000000  hm2_7i92.0.sserial.port-0.port_state2
     7  u32   OUT    0x00000000  hm2_7i92.0.sserial.port-0.port_state3
     7  bit   IN           TRUE  hm2_7i92.0.sserial.port-0.run
     7  bit   I/O         FALSE  hm2_7i92.0.watchdog.has_bit
     7  s32   OUT         16602  hm2_7i92.0.write.time
